t,c,SMA,EMA,RSI,MACD,MACD_SIGNAL,MACD_DIFF
2021-02-16 05:00:00,243.7,236.298,236.9335611281507,67.01727672902595,6.245096492684723,5.986580142078475,0.2585163506062482
2021-02-17 05:00:00,244.2,237.68599999999998,237.62560292546968,67.5959068228228,6.05574993311393,6.000414100285567,0.055335832828363074
2021-02-18 05:00:00,243.79,238.6585,238.21268836113921,66.56467371115028,5.805683541050058,5.961467988438465,-0.1557844473884069
2021-02-19 05:00:00,240.97,239.45850000000002,238.47528946960216,59.80642418836793,5.318643677854141,5.832903126321601,-0.5142594484674605
2021-02-22 05:00:00,234.51,239.88649999999998,238.0976428534496,47.82709474896605,4.361120780160974,5.538546657089476,-1.1774258769285026
2021-02-23 05:00:00,233.27,240.07349999999997,237.63786734359724,45.92552335178592,3.4623080166673503,5.123298929005052,-1.6609909123377014
2021-02-24 05:00:00,234.55,240.1845,237.3437847394451,48.214391054656645,2.8207617430849723,4.662791491821037,-1.8420297487360644
2021-02-25 05:00:00,228.99,239.98900000000003,236.5481861928313,40.24554121086148,1.8424475772516473,4.098722708907159,-2.256275131655512
2021-02-26 05:00:00,232.38,239.66150000000002,236.1512160792283,46.095509270191684,1.3253929165303475,3.544056750431797,-2.2186638339014495
2021-03-01 05:00:00,236.94,239.9105,236.22633835739703,52.79066777015752,1.2689496021016566,3.089035320765769,-1.8200857186641124
2021-03-02 05:00:00,233.87,239.62150000000003,236.00192518050207,48.4294878110469,0.9653663830808625,2.6643015332287883,-1.6989351501479257
2021-03-03 05:00:00,227.56,239.02399999999997,235.19793230616855,40.94264937273555,0.21315313304367578,2.1740718531917658,-1.96091872014809
2021-03-04 05:00:00,226.73,238.21049999999997,234.39146256272394,40.06526474954165,-0.4448276541141354,1.6502919517305856,-2.095119605844721
2021-03-05 05:00:00,231.6,237.68999999999997,234.12560898532166,47.21311816283679,-0.5667803773390574,1.2068774859166571,-1.7736578632557145
2021-03-08 05:00:00,227.39,236.9495,233.48412241529104,42.49496201693067,-0.99170880291598,0.7671602281501297,-1.7588690310661097
2021-03-09 05:00:00,233.78,236.51500000000001,233.51230123288238,50.56934646297547,-0.803584819502845,0.45301121861953486,-1.25659603812238
2021-03-10 05:00:00,232.42,235.94750000000005,233.40827254403644,48.992617991724266,-0.7555266009369461,0.21130365470823867,-0.9668302556451848
2021-03-11 05:00:00,237.13,235.663,233.76272277793774,54.30626729357385,-0.33353766501281257,0.10233539076402842,-0.435873055776841
2021-03-12 05:00:00,235.75,235.22600000000003,233.95198727527702,52.57801592120728,-0.10920402387554873,0.06002750783611299,-0.16923153171166172
2021-03-15 04:00:00,234.81,234.71699999999996,234.03370277286967,51.37859226849628,-0.0071853133107140366,0.046584943606747586,-0.05377025691746162
2021-03-16 04:00:00,237.71,234.41749999999996,234.38382631831067,54.80408042382569,0.30416479112963657,0.09810091311132539,0.20606387801831116
2021-03-17 04:00:00,237.04,234.05949999999999,234.63679524037633,53.85997054680468,0.49118649926805347,0.17671803034267103,0.31446846892538244
2021-03-18 04:00:00,230.72,233.40599999999995,234.26376712224524,45.83829549838425,0.1279563674760027,0.16696569776933737,-0.03900933029333467
2021-03-19 04:00:00,230.35,232.875,233.89102739631713,45.41187534727149,-0.18759950634938605,0.09605265694559269,-0.2836521632949787
2021-03-22 04:00:00,235.99,232.94899999999998,234.09092954904884,52.643717316993325,0.017222524201628175,0.08028663039679979,-0.06306410619517161
2021-03-23 04:00:00,237.58,233.1645,234.42322197294894,54.474789313587735,0.3043369638162403,0.12509669708068788,0.17924026673555243
2021-03-24 04:00:00,235.46,233.20999999999998,234.52196273743,51.609422442017554,0.35669913771582173,0.17141718520771465,0.18528195250810708
2021-03-25 04:00:00,232.34,233.3775,234.31415676243665,47.63803775504089,0.1447697966090118,0.16608770748797408,-0.021317910878962287
2021-03-26 04:00:00,236.48,233.58249999999998,234.5204275469665,52.82545421505515,0.3073349020483249,0.19433714640004424,0.11299775564828068
2021-03-29 04:00:00,235.24,233.49749999999995,234.5889582567792,51.189678954093516,0.33228095443467964,0.22192590800697132,0.11035504642770833
2021-03-30 04:00:00,231.85,233.39649999999997,234.32810508946687,46.91273241968683,0.07761155440198308,0.19306303728597368,-0.1154514828839906
2021-03-31 04:00:00,235.77,233.80699999999996,234.46542841427953,51.91567993587943,0.18990633723217343,0.19243169727521364,-0.0025253600430402146
2021-04-01 04:00:00,242.35,234.58800000000002,235.21633999387194,58.91482817573819,0.8006226903073355,0.31406989588163803,0.48655279442569743
2021-04-05 04:00:00,249.07,235.46149999999997,236.53573618493175,64.58455887171054,1.8060486342800743,0.6124656435613254,1.193582990718749
2021-04-06 04:00:00,247.86,236.48500000000004,237.61423750065256,62.901349777335966,2.4766695461188135,0.9853064240728231,1.4913631220459904
2021-04-07 04:00:00,249.9,237.291,238.78431011963804,64.57751887427838,3.136595678800205,1.4155642750182995,1.7210314037819057
2021-04-08 04:00:00,253.25,238.33249999999998,240.1619948701487,67.19843771377438,3.8851236097750927,1.9094761419696582,1.9756474678054345
2021-04-09 04:00:00,255.85,239.2685,241.65609059680122,69.1088284297755,4.634709611424626,2.4545228358606517,2.180186775563974
2021-04-12 04:00:00,255.91,240.2765,243.01360577805823,69.15347586228766,5.173961212586818,2.9984105112058854,2.1755507013809323
2021-04-13 04:00:00,258.49,241.4605,244.48754808490983,71.08849785591211,5.743301228168747,3.547388654598458,2.195912573570289
2021-04-14 04:00:00,255.59,242.3545,245.54492445777558,66.07136151184119,5.892575585354962,4.016426040749758,1.8761495446052034
2021-04-15 04:00:00,259.5,243.47750000000002,246.87397927132076,69.22504059481213,6.2542854026905275,4.463997913137913,1.7902874895526146
2021-04-16 04:00:00,260.74,244.97850000000003,248.19455267405212,70.1719438898465,6.565319756412748,4.88426228179288,1.6810574746198679
2021-04-19 04:00:00,258.74,246.398,249.19888099080904,66.6119186584981,6.574645022076481,5.222338829849601,1.3523061922268802
2021-04-20 04:00:00,258.26,247.51149999999998,250.0618447059701,65.7497747520529,6.468735814011609,5.471618226682002,0.9971175873296065
2021-04-21 04:00:00,260.58,248.6615,251.06357378159197,67.91153810978648,6.497111952262657,5.676716971798133,0.8203949804645232
2021-04-22 04:00:00,257.17,249.747,251.64513818334513,61.742983575749186,6.17328001553895,5.776029580546297,0.3972504349926531
2021-04-23 04:00:00,261.15,251.1875,252.55036311826464,65.66322424984008,6.166707643284894,5.854165193094016,0.312542450190878
2021-04-26 04:00:00,261.55,252.44099999999997,253.40747139271565,66.03986957811958,6.123191310113953,5.907970416498004,0.21522089361594876
2021-04-27 04:00:00,261.97,253.77749999999997,254.2229503076951,66.45593606180114,6.052821632443084,5.9369406596870204,0.1158809727560639
2021-04-28 04:00:00,254.56,254.913,254.2550502783908,53.9073459309169,5.337599558684502,5.817072439486518,-0.47947288080201567
2021-04-29 04:00:00,252.51,255.75,254.08885501378214,51.03617149007407,4.552880275156468,5.5642340066205085,-1.0113537314640402
