t,c,SMA,EMA,RSI,MACD,MACD_SIGNAL,MACD_DIFF
2022-01-13 05:00:00,343.8533,349.31667000000004,353.68880988615047,47.539915632685684,3.2459852792983384,3.9687251153354097,-0.7227398360370714
2022-01-14 05:00:00,349.87,351.361505,353.3251137065171,49.36145606554252,2.550705276455915,3.685121147559511,-1.134415871103596
2022-01-18 05:00:00,343.5033,352.99383500000005,352.38970287732496,47.48263527489319,1.4690174648106904,3.2419004110097474,-1.772882946199057
2022-01-19 05:00:00,331.8833,354.589,350.43671212710353,44.177601133344474,-0.32215124761575,2.5290900792846482,-2.851241326900398
2022-01-20 05:00:00,332.09,355.551335,348.6894062102365,44.251935554062335,-1.7053284297434743,1.6822063774790237,-3.3875348072224982
2022-01-21 05:00:00,314.6333,354.46849999999995,345.44596752354727,39.47146088356054,-4.162137578934733,0.5133375861962726,-4.675475165131005
2022-01-24 05:00:00,310.0,352.185165,342.07016109273326,38.28916123906276,-6.409164261874537,-0.8711627834178893,-5.538001478456647
2022-01-25 05:00:00,306.1333,349.25949499999996,338.6476028934253,37.285428167125374,-8.405071044669228,-2.377944435668157,-6.027126609001071
2022-01-26 05:00:00,312.47,346.74183,336.15449785595627,40.05859899011645,-9.367539651762911,-3.775863478887108,-5.591676172875803
2022-01-27 05:00:00,276.3667,342.457,330.46042186967475,31.50953463096782,-12.89489323678771,-5.5996694304672285,-7.295223806320481
2022-01-28 05:00:00,282.1167,338.72383499999995,325.8562578820867,33.928032439234514,-15.052849541444857,-7.490305452662755,-7.5625440887821025
2022-01-31 05:00:00,312.24,336.72283500000003,324.559471417126,44.90425757482128,-14.169015312427575,-8.82604742461572,-5.342967887811856
2022-02-01 05:00:00,310.4167,332.247335,323.2125408059712,44.42321225449302,-13.460530770463265,-9.752944093785228,-3.707586676678037
2022-02-02 05:00:00,301.8867,328.181835,321.1815083482596,42.14835233908709,-13.432509767266652,-10.488857228481514,-2.9436525387851376
2022-02-03 05:00:00,297.0467,324.898835,318.8829551722349,40.869486765093484,-13.643575821545426,-11.119800947094296,-2.5237748744511297
2022-02-04 05:00:00,307.7733,322.5425,317.82489277487923,44.86243161513624,-12.797775427358829,-11.455395843147203,-1.342379584211626
2022-02-07 05:00:00,302.4467,320.54883499999994,316.3603029867955,43.29881472327973,-12.414181666359468,-11.647153007789656,-0.7670286585698118
2022-02-08 05:00:00,307.3333,318.280165,315.50058841662445,45.18627680560973,-11.58235884316781,-11.634194174865288,0.051835331697477116
2022-02-09 05:00:00,310.6667,316.0735,315.0402180912316,46.494699974438134,-10.532740860973036,-11.413903512086838,0.8811626511138027
2022-02-10 05:00:00,301.5167,312.712335,313.7522639873048,43.43013753419189,-10.320273885054405,-11.195177586680352,0.8749037016259464
2022-02-11 05:00:00,286.6667,309.853005,311.1726864647043,38.94378657796224,-11.22081658044516,-11.200305385433314,-0.02051119501184573
2022-02-14 05:00:00,291.92,306.955505,309.33909727758964,41.25563156811674,-11.379430753979875,-11.236130459142625,-0.1433002948372497
2022-02-15 05:00:00,307.4767,305.154175,309.1617261082954,47.584922176521545,-10.133030681917546,-11.01551050369761,0.8824798217800645
